"Index","Pair.1","Pair.2","Pair.3","Pair.4","Pair.5","Pair.6","Pair.7","Pair.8","Pair.9","Pair.10","Pair.11","Pair.12","Pair.13","Pair.14","Pair.15","Pair.16","Pair.17","Pair.18","Pair.19","Pair.20","Pair.21","Pair.22","Pair.23","Pair.24","Pair.25","Pair.26","Pair.27","Pair.28","Pair.29","Pair.30","Pair.31","Pair.32","Pair.33","Pair.34","Pair.35","Pair.36","Pair.37","Pair.38","Pair.39","Pair.40","Pair.41","Pair.42","Pair.43","Pair.44","Pair.45","Pair.46","Pair.47","Pair.48","Pair.49","Pair.50","Pair.51","Pair.52","Pair.53","Pair.54","Pair.55","Pair.56","Pair.57","Pair.58","Pair.59","Pair.60","Pair.61","Pair.62","Pair.63","Pair.64","Pair.65","Pair.66","Pair.67","Pair.68","Pair.69","Pair.70","Pair.71","Pair.72","Pair.73"
"2012-01-30",-1.06965570252001,-2.46475895265365,-0.655151826743321,-1.02265154077042,-0.356039335055644,-0.296163994830559,-1.2569965440007,-1.33214970625373,-0.471940773455814,-0.711179285457153,-2.39321951984932,-2.14503177794156,-2.40569455234584,0.474263078409585,-0.164191584192818,-0.206882707308414,-1.47821556922637,-0.412457267693957,-0.710898598316406,-0.728314846427546,-0.648289990869827,-1.1190170989398,-0.180477767203162,-0.590210885785354,-0.20968516319652,-0.160689437698093,-0.682968351637868,-0.700589800395384,-0.614163160760612,-0.569560560520609,0.232038881864117,-0.510328372835723,0.337047659084575,0.147532957321538,0.589637154463267,0.174657497902247,-0.123006655036332,-0.608532197417672,-0.354370982742197,-0.158085025414664,0.17954852202196,-0.134431987080205,0.11141291801255,-0.299731535505468,-0.0882361839477546,-0.12731203095383,0.211494270774958,-0.700396189540084,0.609473866693959,0.047531686428075,-0.287054875919307,0.275797396717972,0.61254724079898,0.594486642414618,1.12812338266792,0.58728668068816,0.668487236682084,0.343151372492077,1.42556449245738,0.184713081997731,0.00033133559125847,0.0153022952648435,0.415820697731832,1.31026712944517,0.875431778524813,0.217569927841778,1.07556438938583,0.256271616113344,-0.653732148880712,-0.659626416414378,-0.268688448111549,0.601590159372523,0.557620663158728
"2012-01-31",-0.980904656956605,-2.28938035937037,-0.620626847703255,-0.970800954313313,-0.36184470726047,-0.297685591739113,-1.21170334997307,-1.28627146735271,-0.469705435663293,-0.684254637449975,-2.25885166738504,-2.01464238133123,-2.2724530908256,0.422830741707752,-0.243911223190741,-0.307685095392239,-1.6172736611859,-0.428240101853062,-0.81099492663567,-0.813540956002275,-0.731266872139387,-1.21538527167513,-0.179265240650044,-0.619704684135785,-0.297824119678242,-0.260444981738179,-0.774708384999589,-0.77664910462743,-0.687565009957566,-0.591483151052114,0.230286619974723,-0.631257830077106,0.198502354215974,0.209337748530107,0.783770902322804,0.217821317322629,0.152043152146193,-0.582715792295784,-0.374164646733784,-0.158051079197386,0.124750154600619,-0.0816568995067731,0.118505373209967,-0.293132388371736,-0.0637637583079241,-0.0908880486185863,0.274950939018992,-0.631552502449815,0.57786296738778,0.0546089576396413,-0.224109498058206,0.299933313801551,0.617709983115645,0.610062245684522,1.12325525171521,0.598934324067304,0.692211095743765,0.378148370093802,1.51858741389878,0.150070185409511,-0.0772804283002099,0.309303789267403,0.421057795894962,1.12691334193373,0.856797638874661,0.237522092104331,0.971507251578036,0.116217035031716,-0.800041489644205,-0.792240378985857,-0.304263388450556,0.57283683911087,0.517745383090258
"2012-02-01",-0.914634758715544,-2.28938037664274,-0.581211249115149,-0.960307067090687,-0.344279478009207,-0.289718204534092,-1.23828953372743,-1.30843115444669,-0.441269260821463,-0.634103181609526,-2.20531235229482,-2.03350563445716,-2.2194303004956,0.232558018330668,-0.394717866017852,-0.338191589428052,-1.81437828397178,-0.422393762753365,-0.873385747207335,-0.875277266974129,-0.778575718220253,-1.2814764141909,-0.138834713648654,-0.615223502014461,-0.356590501607358,-0.287092858329186,-0.824975952962465,-0.826227885624442,-0.721809356904408,-0.576956185414228,0.230419850092864,-0.723979475524596,0.116340217070653,0.285534487322057,0.947511424898799,0.29951632376497,0.361910538673916,-0.553739403499118,-0.346976625172791,-0.144736379512775,0.100581043465778,-0.0235468684652258,0.122822320713071,-0.28904873996558,-0.0324927848341436,-0.0938280139550001,0.34192629400589,-0.587583386734714,0.53734237441037,0.0458700690290613,-0.188327544067385,0.304788901269774,0.602131103730648,0.594912268856431,1.12424409456886,0.62878804648295,0.67202263440272,0.405619589835947,1.59768533608369,0.128110499256283,-0.196506102619596,0.477024127985354,0.414140438532744,0.874538777593903,0.783426531015388,0.233707466833665,0.908771161665547,0.0112236985122584,-0.953658936534079,-0.909070745799973,-0.340196847775333,0.49445709172968,0.425753554802809
"2012-02-02",-0.814555102378583,-2.18514078389177,-0.572088067297736,-0.907275421511227,-0.346356585607556,-0.283633534575928,-1.20179318818311,-1.26446302906457,-0.429914518424751,-0.581429557479384,-2.29762763117929,-1.94563546827855,-2.31411974136326,-0.0738076686542074,-0.375790681011619,-0.337190940838304,-1.99967052761456,-0.414159599836159,-0.893658500785444,-0.891874200790284,-0.78896691361034,-1.273671750551,-0.0929179711382403,-0.604598159164517,-0.399060138356168,-0.281902733662773,-0.841526698736461,-0.838914991240195,-0.727904537490732,-0.562829741788662,0.224666905627003,-0.794620953635717,0.0481115268026175,0.381141099431395,1.09330031115316,0.359677205105843,0.447653857319177,-0.475976691133006,-0.298810426017709,-0.129742094848674,0.0452143213471005,0.00923425753695533,0.119274393234244,-0.280897233488484,-0.012497562676392,-0.103585520947824,0.373844553086898,-0.542397595021313,0.481423969739761,0.0384903844924235,-0.117721435972901,0.302405572715228,0.567999243614909,0.563575039232181,1.07547452273845,0.638845351759453,0.648370001972713,0.400462574208858,1.63737055591677,0.106179183498783,-0.316922686782057,0.526065284179762,0.38224699083664,0.583149440712859,0.675749890065434,0.281023792553851,0.861364242145677,-0.0428378673479802,-0.971229244119693,-0.931134527364219,-0.363697466331024,0.440398058227473,0.360099139064011
"2012-02-03",-0.719845741349591,-2.00139612724334,-0.503422231587279,-0.821542102513223,-0.305298439104528,-0.265365701074479,-1.09763581167336,-1.14309048593511,-0.382135385555206,-0.503973022961834,-2.101637482657,-1.77607017489245,-2.11431853636392,-0.181331783913488,-0.355863773855039,-0.296691825265216,-2.04387931341692,-0.379606931703541,-0.891775364697532,-0.888075287437751,-0.777698914597822,-1.30637770344257,-0.073947938194508,-0.609056020376897,-0.405117426279451,-0.242402081405008,-0.837818686157948,-0.833204624113574,-0.71435756797698,-0.566326111624676,0.213757142489379,-0.857550755410255,-0.0252096892401632,0.435529996138981,1.04746736982154,0.388729809082778,0.31170365029708,-0.448310332930299,-0.24231408657798,-0.110744297735078,0.00510663882525424,0.0472124744848817,0.118772439544127,-0.274735242829324,0.0072922625986439,-0.105865153028322,0.349490740077158,-0.469459570473323,0.442145779363901,0.05037488026524,-0.0774012008367432,0.285844398835235,0.524902187603501,0.522107467601206,1.02337795907752,0.62925540946013,0.548003237085924,0.362565157642106,1.62499900063617,0.0817133225307994,-0.544378086114879,0.352215144995248,0.349928984397492,0.353134114317992,0.577674978875363,0.299464043170391,0.793945655534177,-0.060343491865047,-1.01848170350389,-0.9855805394099,-0.381538630797308,0.376882199856552,0.294490980245259
"2012-02-06",-0.620337684130087,-1.763714374042,-0.468114311864571,-0.722882548047717,-0.288048009772637,-0.254206766244432,-0.947185977973346,-0.996293782563734,-0.352069119143503,-0.457764143799366,-1.9329168913712,-1.54889355453503,-1.94203782393666,0.0439200480057224,-0.285921532079203,-0.27727900419308,-2.14994031852525,-0.34924665326039,-0.824577625003877,-0.823138368857686,-0.701675643329976,-1.26446791374894,-0.00580197647825924,-0.581590395105876,-0.369663101768891,-0.210539021522659,-0.763240340953245,-0.761116114298368,-0.630865682660732,-0.535297099821161,0.186298432194953,-0.895760392325127,-0.0900252675655649,0.433489964471555,0.841503933359732,0.413214188398745,0.142275678219699,-0.43456634167246,-0.189341594226672,-0.0912368053222822,-0.0204226192438107,0.0472548555249861,0.0987582522839509,-0.273396724394633,0.0115212177256606,-0.112618361290672,0.323786460989659,-0.395242273222078,0.380583864310847,0.039289363503248,-0.0478622932366932,0.24608091184465,0.447379870583712,0.443506305816636,0.926405253450382,0.565540971246448,0.395881093857745,0.288246901733801,1.50680602724859,0.0557276194456437,-0.708012857666237,0.173092198572394,0.302385574880122,0.137058432529888,0.463802676748561,0.291229112228407,0.680223184565393,-0.0924118767534065,-1.00666762117084,-0.992021405089584,-0.406876471102638,0.313083684030791,0.208573484170145
"2012-02-07",-0.519087581117125,-1.71410425061699,-0.475738485696295,-0.680074375384784,-0.287743712377495,-0.252165617987408,-0.899576862738586,-0.96815117109012,-0.356508438579819,-0.470483631577531,-1.77529428665861,-1.50017374556274,-1.78232943535375,0.107821593127847,-0.332602723073156,-0.305311175691007,-2.09533092805672,-0.331322838378883,-0.737678511777357,-0.731997250668222,-0.613077736076993,-1.17799936067164,0.0268753107931337,-0.552826406138372,-0.292488448667489,-0.239149508321115,-0.666302380606345,-0.659875269279915,-0.532614423630745,-0.501886992754183,0.16744078382808,-0.928274207357729,-0.142284268813521,0.422544518748299,0.620709956551215,0.376213227847495,-0.148535915104531,-0.435589519686389,-0.105241066808054,-0.0755640880964219,-0.0501147222608995,0.0389999990322375,0.08074183940773,-0.271238951921886,-0.0123394894325693,-0.13378832722152,0.247190779459235,-0.352615525577605,0.364091038691508,0.0319794453073254,-0.0585304475206484,0.212657008049501,0.394433503820717,0.394144067015517,0.918703482466857,0.519755826698286,0.301975999279013,0.222716452255952,1.36143997215719,0.0424812291532709,-0.66305236630642,-0.152989482936535,0.248251401506887,0.0560020371294411,0.360899158443177,0.315052462142391,0.591819720673949,-0.144174439610285,-0.93867839888991,-0.898055179725248,-0.418675203967622,0.28425282337109,0.176316655774679
"2012-02-08",-0.434833377644416,-1.70948954810185,-0.437564658806991,-0.64423343677104,-0.267095165435508,-0.240241334564849,-0.855952835655553,-0.942704080344149,-0.339098271673348,-0.455190799889702,-1.66355701119812,-1.46802184925959,-1.67398494778587,0.192139301183672,-0.323906876115784,-0.299354189546447,-2.01507184483135,-0.296312807148537,-0.67220899361214,-0.666957462334385,-0.547130614717824,-1.11902426876524,0.0343209350233835,-0.55000372516552,-0.216954580045755,-0.228176500480065,-0.593161683811864,-0.587299887342456,-0.459306350803132,-0.496241221939059,0.168867927887508,-0.958844766383922,-0.194066672520345,0.346120854012466,0.402280950364301,0.332487674069766,-0.340805717260492,-0.42112485751099,-0.0185150507746379,-0.072947871290587,-0.0339657196941515,0.0332509438484683,0.0651974252564881,-0.266654288951173,-0.0430758738681107,-0.144211786994358,0.162060553881129,-0.29234029359135,0.401426385670349,0.0278953426465469,-0.0671688932243989,0.209141188429422,0.400640441577853,0.400282014899123,0.891639845028833,0.473617763416194,0.294449226563467,0.192478017278082,1.20969015460491,0.0500259316651091,-0.602665919281878,-0.339026091140592,0.223270748427941,-0.0017285502623667,0.307246959821096,0.304981135564349,0.452367153739327,-0.163716922431891,-0.891993958820551,-0.848352483862585,-0.427123207465462,0.253240057579879,0.13515944449908
"2012-02-09",-0.331473393216635,-1.59080879812945,-0.35106246715437,-0.5848576805595,-0.228488664160297,-0.226410835284987,-0.789116983778067,-0.878799075357328,-0.30023889736753,-0.444998227487259,-1.59455875567374,-1.35273299274625,-1.60305952372286,0.455084646733344,-0.430940514638206,-0.296572185241923,-1.84790395414807,-0.220975551288823,-0.551265417648016,-0.546760903803616,-0.423985782109787,-0.979201951837399,0.0459454873303786,-0.526392175587249,-0.184854587966171,-0.229750497829507,-0.460974445438037,-0.456094139845055,-0.325447830614515,-0.468579903178032,0.168948849567137,-0.987686390471171,-0.243477202423644,0.300638081073253,0.189302977360787,0.282121568446892,-0.53283714922275,-0.358461292288001,-0.022873943388609,-0.0669647660934155,-0.0194638508055567,0.0504508252198178,0.0574527953696404,-0.264763364886434,-0.0537931046356904,-0.155772694605885,0.0894588017444725,-0.237771074725633,0.377112930072689,0.0232123460441289,-0.1104267446898,0.220105198077928,0.417128826116118,0.416595775882658,0.935892046477309,0.475665971426049,0.320212753804769,0.156631046362087,1.11566106704325,0.0508353450580827,-0.507652350695377,-0.578863352135947,0.206624623618423,0.0409736928840562,0.290418115453412,0.282525212397526,0.343907781263811,-0.233985381076062,-0.92654984323687,-0.849490382625714,-0.473242240064661,0.145817551159043,0.0295575838679288
"2012-02-10",-0.245837439855454,-1.32316048729134,-0.293061562569885,-0.497818530846108,-0.219600794784073,-0.221839749549642,-0.65329902501149,-0.743511930115805,-0.29167558397456,-0.450966662057168,-1.41455084968933,-1.11287872624481,-1.41635649427714,0.262748660936531,-0.368848144848653,-0.293169626641203,-1.6835768931302,-0.149653215458217,-0.429179942178477,-0.42592342964259,-0.314663688123129,-0.815141104008036,0.0433424918520192,-0.497316530657248,-0.148457139274998,-0.234171662681883,-0.344146726099068,-0.340678299100265,-0.222522210294424,-0.445875406085965,0.148064099586315,-1.01287934354561,-0.295376329086809,0.260961583795351,0.072751881432586,0.210822594054789,-0.472071178687276,-0.317564250590893,-0.0334708154722838,-0.0746182649067866,0.0260206810113418,0.0664851013399005,0.0440909206554094,-0.264046534879283,-0.0654940100848496,-0.165791634777032,0.0356308108084775,-0.189544721445599,0.347082817947806,0.00422870338685391,-0.155649061454926,0.219825172307715,0.410657381945003,0.40966639983201,0.989316051825142,0.477283111264951,0.334231753361325,0.106623762255374,1.00667232806319,0.0368031110415871,-0.44445713351449,-0.509624771800721,0.180898109627922,0.0490740106276983,0.272918470758282,0.177926018996444,0.303369916022257,-0.323374685566393,-0.843669254242972,-0.779254458091275,-0.511843934184912,0.00584518918088581,-0.10352081916989
